"","k__Bacteria;p__Actinobacteria;c__Actinobacteria","k__Bacteria;p__Actinobacteria;c__Coriobacteriia","k__Bacteria;p__Bacteroidetes;c__Bacteroidia","k__Bacteria;p__Firmicutes;c__Bacilli","k__Bacteria;p__Firmicutes;c__Clostridia","k__Bacteria;p__Firmicutes;c__Erysipelotrichi","k__Bacteria;p__Proteobacteria;c__Betaproteobacteria","k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria","k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria"
"Control29",0.043357048865892006,0.004728237839284519,0.16234360015166047,0.008765082409617058,0.7612239891161318,0.010415505051631465,0.006289448446595446,0.00011151504337935187,0.0027655730758079267
"Control15",0.014498407125674533,0.01960210649502633,0.1861712502438073,0.006208959105389766,0.751316559391457,0.0021780118327807034,0.015766205058188675,0.0006501527859046876,0.003608347961771016
"Control28",0.011277594113255839,0.03177988695744908,0.322864455582809,0.01970246347445878,0.5582809000746507,0.02194198570971526,0.005278873840247414,0.0006931854537698624,0.02818065479364402
"Control3",0.13449184267689607,0.09432915838609789,0.022045570088274714,0.0028192448121273743,0.6875722142626057,0.05647733049868281,0.0,0.002264639275315432,0.0
"Control27",0.03933299389002037,0.018584521384928717,0.09432281059063137,0.012092668024439918,0.8082739307535641,0.02270875763747454,0.004684317718940937,0.0,0.0
"Control18",0.06104601436879918,0.03500256585699624,0.0652796784125898,0.004426103318508382,0.8037333219295245,0.026300034211426616,0.0028224426958604176,0.0013898392062949025,0.0
"Control5",0.028651366304142036,0.05595641289942571,0.05597744914487662,0.007846519553190146,0.7990197109619875,0.04741569724635547,0.004459684035593327,0.00046279739992006227,0.00021036245450911921
"Control7",0.025244299674267102,0.018451054345962628,0.08951225784330533,0.008057603291616663,0.8200325732899023,0.027258700497171266,0.007350420024001371,0.0,0.004093091033773358
"Control26",0.08137177113638368,0.029445472978929736,0.10160451379705546,0.0068324076522965705,0.7749713479679097,0.0022040024684827648,0.0030415234065062154,0.0005289605924358636,0.0
"Control4",0.050466275843364695,0.0017315836688711326,0.05628690046523272,0.00029207435378549224,0.8295120272046398,0.06010472951828594,0.0,0.0,0.0016064089458202075
"Control9",0.03536139793486894,0.006227164416203336,0.18560762509928513,0.007402700555996823,0.7028752978554408,0.054360603653693405,0.007370929308975377,0.00012708498808578237,0.0006671961874503574
"Control19",0.0916807794434339,0.000961759601915156,0.11378034247004955,0.004746074557276966,0.7679859499466851,0.011206590144054862,0.008990361496163415,0.00016726253946350541,0.000480879800957578
"Control13",0.04292357968828557,0.0019167923579688285,0.26875942684766213,0.0007227249874308698,0.6597536450477627,0.019922071392659627,0.0054361488185017594,0.0,0.0005656108597285068
"Control16",0.009005145797598629,0.007004002287021155,0.08393367638650658,0.005174385363064608,0.8803030303030303,0.005831903945111492,0.002715837621497999,0.00440251572327044,0.0016295025728987993
"Control6",0.017167966754096126,0.014647273222740743,0.06114384984841775,0.001737234731069251,0.882992131348571,0.016350444527710596,0.0028272643662499574,0.0015669176005722657,0.0015669176005722657
"Control22",0.023829893787951504,0.0004382029505665338,0.3559668635102143,0.0587609289902552,0.5503829059115665,0.0024831500532103584,0.005362769442647581,0.0,0.0027752853535880475
"Control11",0.0152260324732197,0.0007410900761301624,0.4608232837027555,0.0005389746008219363,0.4542882166677895,0.020009432055514385,0.026275011790069393,0.0,0.022097958633699386
"Control32",0.0,0.00031759895192345867,0.3648020961530827,0.0,0.628012227559649,0.0024216920084163722,0.0,0.0022231926634642104,0.0022231926634642104
