"","k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae","k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae","k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae","k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae","k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae","k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Odoribacteraceae]","k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae","k__Bacteria;p__Firmicutes;c__Bacilli;o__Turicibacterales;f__Turicibacteraceae","k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;Other","k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__","k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Christensenellaceae","k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae","k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae","k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae","k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae","k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae","k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Mogibacteriaceae]","k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae","k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae","k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae","k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae","k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae","k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae"
"Control29",0.04336865588399331,0.004729503625209147,0.15288343558282208,0.0031455660903513664,0.0052872281093139985,0.0010708310094813163,0.006648075850529838,0.00196319018404908,0.00017847183491355272,0.0215058561070831,0.0,0.03279419966536531,0.41791411042944787,0.00049079754601227,0.27872838817624096,0.009235917456776353,0.0004684885666480758,0.010418293363078639,0.006291132180702733,0.00011154489682097045,0.00011154489682097045,0.0026547685443390964,0.0
"Control15",0.01680735604461863,0.022723846849562856,0.043148929755803436,0.0011682242990654205,0.01292583659933675,0.0007536930961712391,0.0028263491106421466,0.00309014169430208,0.0004522158577027434,0.03497135966234549,0.00037684654808561955,0.01933222791679228,0.398402170636117,0.00037684654808561955,0.3914681941513416,0.021932469098583058,0.0035046728971962616,0.0025248718721736507,0.018277057582152548,0.0007536930961712391,0.0005275851673198674,0.0036554115164305094,0.0
"Control28",0.015283448350616034,0.04306825161686599,0.07995808794305741,0.00859919788994472,0.0,0.0,0.01875203237345088,0.0017342920114174225,0.000722621671423926,0.00263756910069733,0.0002890486685695704,0.02980814394623695,0.5028362900603389,0.0008310149221375149,0.1972395852151606,0.022039960978429744,0.0001806554178559815,0.029735881779094555,0.0071539545470968675,0.0009394081728511038,0.037287278245474585,0.0009032770892799075,0.0
"Control3",0.1349596512382896,0.09465726741489658,0.01196549485205454,0.0034783415267600408,0.0029218068824784344,0.0006029125313050738,0.0020406270290325573,0.0004637788702346721,0.0007420461923754754,0.04141545311195622,0.026806418699564048,0.04665615434560801,0.3219552917169094,0.002643539560337631,0.2415824135052407,0.0007420461923754754,0.007420461923754754,0.05667377794267693,0.0,0.0022725164641498935,0.0,0.0,0.0
"Control27",0.04067716286662103,0.019219630351219,0.06413564319941024,0.0019219630351218998,0.002948765204570586,0.0006055499973671739,0.0032910325943868147,0.0035279869411826655,0.0,0.036991206360907795,0.0018956347743668053,0.005897530409141172,0.46674740666631565,0.00031593912906113423,0.311700279079564,0.010241693433731767,0.0015533673845505767,0.02348480859354431,0.004844399978937391,0.0,0.0,0.0,0.0
"Control18",0.06150045507736315,0.03547436397520912,0.0405668963723833,0.004832488189658909,0.007432930264811685,0.0004984180644042821,0.00249209032202141,0.0019936722576171283,0.00021670350626273134,0.06310406102370736,0.035084297663936205,0.02318727517011225,0.26895072162267586,0.0009101547263034716,0.41745763446452566,0.0042040480214969875,0.0011701989338187492,0.026654531270315952,0.0028604862826680537,0.0014085727907077537,0.0,0.0,0.0
"Control5",0.02988480526604498,0.05836533187054306,0.0071091607240811846,0.0019308831596269885,0.008930334613274821,0.00010970927043335162,0.0006143719144267691,0.005266044980800877,0.0003730115194733955,0.03982446516730664,0.019374657158529894,0.10670323642347779,0.2348875479978058,0.0018869994514536478,0.3678332419089413,0.052419089413055404,0.009676357652221614,0.04945693911135491,0.004651673066374109,0.0004827207899067471,0.0,0.00021941854086670324,0.0
"Control7",0.025321897637626017,0.01850777068420713,0.08503686507168806,0.004234646718686185,0.0005158960469465403,0.0,0.003912211689344597,0.003826229014853507,0.0001934610176049526,0.00932912018228327,0.0,0.006298230906472346,0.6757593344940994,0.0,0.12020377893854388,0.010769329980009028,0.0,0.027342490488166636,0.007373014337610971,0.0,0.0012037574428752607,0.0001719653489821801,0.0
"Control26",0.08167418812494469,0.029554906645429608,0.06605610122997965,0.02309530130076984,0.012830722944872135,0.0,0.0031413149278824884,0.0,0.00013273161667109106,0.015485355278293957,0.0002212193611184851,0.012653747455977348,0.45349969029289444,0.0004866825944606672,0.2863020971595434,0.008539067339173525,0.0005309264666843643,0.002212193611184851,0.003052827183435094,0.0005309264666843643,0.0,0.0,0.0
"Control4",0.05047154064429978,0.0017317643131363712,0.056292772492071444,0.0,0.0,0.0,0.00018778167250876315,0.0,0.0,0.0006468035386412952,0.0,0.006739275580036722,0.5514104490068436,0.0,0.2684443331664163,0.002357703221498915,0.0,0.060110999833082955,0.0,0.0,0.0016065765314638625,0.0,0.0
"Control9",0.03524439077099091,0.00622894552850696,0.17444225513252398,0.005053073158329625,0.005275535498633446,0.00088984936121528,0.007182355558380474,0.00022246234030382,6.356066865823429e-05,0.02955571092607894,0.0,0.0022881840716964343,0.4295747791266764,0.0,0.2358100807220492,0.004830610818025806,0.0009534100298735143,0.05437615203711943,0.007373037564355177,0.00012712133731646857,0.0003495836776202886,0.00015890167164558572,0.0
"Control19",0.0916807794434339,0.000961759601915156,0.11120868092579815,0.0016517175772021158,0.0005436032532563926,0.0003763407137928872,0.003930669677392377,0.0008154048798845888,2.0907817432938177e-05,0.00033452507892701083,0.0,0.01607811160592946,0.5937401994605783,0.0005645110706893308,0.14850822722615986,0.008739467686968157,0.0,0.011206590144054862,0.008990361496163415,0.00016726253946350541,0.0,0.000480879800957578,0.0
"Control13",0.042259282567652615,0.001919446192573946,0.2555066079295154,0.01000629326620516,0.003618628067967275,0.0,0.000723725613593455,0.0,0.0,0.003964757709251102,0.0,0.0035871617369414724,0.46648835745752043,0.0,0.17328508495909378,0.012680931403398365,0.0,0.019949653870358717,0.0054436752674638135,0.0,0.000566393958464443,0.0,0.0
"Control16",0.009061097687262685,0.007047520423426533,0.05848003681969854,0.005753077896674721,0.011477390403866068,0.003566908295938327,0.0030491312852376023,0.0019272810953860316,2.8765389483373606e-05,0.061327810378552526,0.00494764699114026,0.010700724887814981,0.24298124496605683,0.00020135772638361522,0.5401852491082729,0.0237602117132666,0.0008341962950178345,0.005868139454608215,0.0027327120009204924,0.0044298699804395355,0.0016396272005522955,0.0,0.0
