"","k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales","k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales","k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales","k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales","k__Bacteria;p__Firmicutes;c__Bacilli;o__Turicibacterales","k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales","k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales","k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales","k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales","k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales","k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales"
"Control29",0.043357048865892006,0.004728237839284519,0.16234360015166047,0.006802417646140465,0.001962664763476593,0.7612239891161318,0.010415505051631465,0.006289448446595446,0.00011151504337935187,0.00011151504337935187,0.0026540580324285745
"Control15",0.014498407125674533,0.01960210649502633,0.1861712502438073,0.0035433326831805475,0.0026656264222092193,0.751316559391457,0.0021780118327807034,0.015766205058188675,0.0006501527859046876,0.00045510695013328134,0.003153241011637735
"Control28",0.011279398432083622,0.031784971468188365,0.32291611114073915,0.018265692496400192,0.001279931736974028,0.5583702202549198,0.02194549624020052,0.005279718415017866,0.0006932963575275985,0.0275185323449416,0.0006666311130073063
"Control3",0.13451671058105671,0.09434660010169649,0.022049646373595896,0.0021726066657421533,0.0004622567373919475,0.6876993482180003,0.05648777330929598,0.0,0.0022650580132205426,0.0,0.0
"Control27",0.03933299389002037,0.018584521384928717,0.09432281059063137,0.008681262729124237,0.0034114052953156822,0.8082739307535641,0.02270875763747454,0.004684317718940937,0.0,0.0,0.0
"Control18",0.06070458385916879,0.035015293790507156,0.06530341596971188,0.0024598404312207224,0.001967872344976578,0.8040255823404847,0.02630959765566512,0.002823469016705525,0.001390344591559539,0.0,0.0
"Control5",0.028651366304142036,0.05595641289942571,0.05597744914487662,0.0027978206449712855,0.005048698908218861,0.7990197109619875,0.04741569724635547,0.004459684035593327,0.00046279739992006227,0.0,0.00021036245450911921
"Control7",0.02531319165395277,0.01850140748221845,0.0897565378086254,0.004254679072565915,0.0038249135096804694,0.8222704514687238,0.027333089799514366,0.007370479403485399,0.0,0.0012033435760792487,0.00017190622515417839
"Control26",0.08137177113638368,0.029445472978929736,0.10160451379705546,0.0068324076522965705,0.0,0.7749713479679097,0.0022040024684827648,0.0030415234065062154,0.0005289605924358636,0.0,0.0
"Control4",0.050466275843364695,0.0017315836688711326,0.05628690046523272,0.00029207435378549224,0.0,0.8295120272046398,0.06010472951828594,0.0,0.0,0.0016064089458202075,0.0
"Control9",0.03524439077099091,0.00622894552850696,0.18566071315070234,0.007182355558380474,0.00022246234030382,0.7030763363630586,0.05437615203711943,0.007373037564355177,0.00012712133731646857,0.0003495836776202886,0.00015890167164558572
"Control19",0.0916807794434339,0.000961759601915156,0.11378034247004955,0.003930669677392377,0.0008154048798845888,0.7679859499466851,0.011206590144054862,0.008990361496163415,0.00016726253946350541,0.0,0.000480879800957578
"Control13",0.04223137637181221,0.0019181786736266154,0.26895380648407285,0.000723247696613314,0.0,0.6602308103518757,0.019936479984906136,0.005440080500613188,0.0,0.0005660199364799849,0.0
"Control16",0.009005145797598629,0.007004002287021155,0.08393367638650658,0.0032590051457975985,0.0019153802172670097,0.8803030303030303,0.005831903945111492,0.002715837621497999,0.00440251572327044,0.0016295025728987993,0.0
"Control6",0.017171476269973767,0.014650267452556983,0.06115634901706927,0.0014990971346802494,0.00023849272597185786,0.8829682123266669,0.01635378692378454,0.002827842322237743,0.0015672379135293517,0.0015672379135293517,0.0
"Control22",0.02360922659430122,0.00043836760254670703,0.35610061580210833,0.057551403820060534,0.001085481682496608,0.550589708798664,0.0024840830810980066,0.0053647844692620815,0.0,0.0006888633754305396,0.002087464774031938
"Control11",0.0152260324732197,0.0007410900761301624,0.4608232837027555,0.00026948730041096813,0.00026948730041096813,0.4542882166677895,0.020009432055514385,0.026275011790069393,0.0,0.02189584315839116,0.0002021154753082261
